09 04 ce - or [rsi + rcx * 8], eax
09 04 cf - or [rdi + rcx * 8], eax
09 04 d0 - or [rax + rdx * 8], eax
09 04 d1 - or [rcx + rdx * 8], eax
09 04 d2 - or [rdx + rdx * 8], eax
09 04 d3 - or [rbx + rdx * 8], eax
09 04 d4 - or [rsp + rdx * 8], eax
09 04 d5 xx xx xx xx - or [rdx * 8 + x], eax
09 04 d6 - or [rsi + rdx * 8], eax
09 04 d7 - or [rdi + rdx * 8], eax
09 04 d8 - or [rax + rbx * 8], eax
09 04 d9 - or [rcx + rbx * 8], eax
09 04 da - or [rdx + rbx * 8], eax
09 04 db - or [rbx + rbx * 8], eax
09 04 dc - or [rsp + rbx * 8], eax
09 04 dd xx xx xx xx - or [rbx * 8 + x], eax
09 04 de - or [rsi + rbx * 8], eax
09 04 df - or [rdi + rbx * 8], eax
09 04 e0 - or [rax], eax
09 04 e1 - or [rcx], eax
09 04 e2 - or [rdx], eax
09 04 e3 - or [rbx], eax
09 04 e4 - or [rsp], eax
09 04 e5 xx xx xx xx - or [x], eax
09 04 e6 - or [rsi], eax
09 04 e7 - or [rdi], eax
09 04 e8 - or [rax + rbp * 8], eax
09 04 e9 - or [rcx + rbp * 8], eax
09 04 ea - or [rdx + rbp * 8], eax
09 04 eb - or [rbx + rbp * 8], eax
09 04 ec - or [rsp + rbp * 8], eax
09 04 ed xx xx xx xx - or [rbp * 8 + x], eax
09 04 ee - or [rsi + rbp * 8], eax
09 04 ef - or [rdi + rbp * 8], eax
09 04 f0 - or [rax + rsi * 8], eax
09 04 f1 - or [rcx + rsi * 8], eax
09 04 f2 - or [rdx + rsi * 8], eax
09 04 f3 - or [rbx + rsi * 8], eax
09 04 f4 - or [rsp + rsi * 8], eax
09 04 f5 xx xx xx xx - or [rsi * 8 + x], eax
09 04 f6 - or [rsi + rsi * 8], eax
09 04 f7 - or [rdi + rsi * 8], eax
09 04 f8 - or [rax + rdi * 8], eax
09 04 f9 - or [rcx + rdi * 8], eax
09 04 fa - or [rdx + rdi * 8], eax
09 04 fb - or [rbx + rdi * 8], eax
09 04 fc - or [rsp + rdi * 8], eax
09 04 fd xx xx xx xx - or [rdi * 8 + x], eax
09 04 fe - or [rsi + rdi * 8], eax
09 04 ff - or [rdi + rdi * 8], eax
09 05 xx xx xx xx - or [rip + x], eax
09 06 - or [rsi], eax
09 07 - or [rdi], eax

09 08 - or [rax], ecx
09 09 - or [rcx], ecx
09 0a - or [rdx], ecx
09 0b - or [rbx], ecx
09 0c 00 - or [rax + rax], ecx
09 0c 01 - or [rcx + rax], ecx
09 0c 02 - or [rdx + rax], ecx
09 0c 03 - or [rbx + rax], ecx
09 0c 04 - or [rsp + rax], ecx
09 0c 05 xx xx xx xx - or [rax + x], ecx
09 0c 06 - or [rsi + rax], ecx
09 0c 07 - or [rdi + rax], ecx
09 0c 08 - or [rax + rcx], ecx
09 0c 09 - or [rcx + rcx], ecx
09 0c 0a - or [rdx + rcx], ecx
09 0c 0b - or [rbx + rcx], ecx
09 0c 0c - or [rsp + rcx], ecx
09 0c 0d xx xx xx xx - or [rcx + x], ecx
09 0c 0e - or [rsi + rcx], ecx
09 0c 0f - or [rdi + rcx], ecx
09 0c 10 - or [rax + rdx], ecx
09 0c 11 - or [rcx + rdx], ecx
09 0c 12 - or [rdx + rdx], ecx
09 0c 13 - or [rbx + rdx], ecx
09 0c 14 - or [rsp + rdx], ecx
09 0c 15 xx xx xx xx - or [rdx + x], ecx
09 0c 16 - or [rsi + rdx], ecx
09 0c 17 - or [rdi + rdx], ecx
09 0c 18 - or [rax + rbx], ecx
09 0c 19 - or [rcx + rbx], ecx
09 0c 1a - or [rdx + rbx], ecx
09 0c 1b - or [rbx + rbx], ecx
09 0c 1c - or [rsp + rbx], ecx
09 0c 1d xx xx xx xx - or [rbx + x], ecx
09 0c 1e - or [rsi + rbx], ecx
09 0c 1f - or [rdi + rbx], ecx
09 0c 20 - or [rax], ecx
09 0c 21 - or [rcx], ecx
09 0c 22 - or [rdx], ecx
09 0c 23 - or [rbx], ecx
09 0c 24 - or [rsp], ecx
09 0c 25 xx xx xx xx - or [x], ecx
09 0c 26 - or [rsi], ecx
09 0c 27 - or [rdi], ecx
09 0c 28 - or [rax + rbp], ecx
09 0c 29 - or [rcx + rbp], ecx
09 0c 2a - or [rdx + rbp], ecx
09 0c 2b - or [rbx + rbp], ecx
