00 0c 59 - add [rcx + rbx * 2], cl
00 0c 5a - add [rdx + rbx * 2], cl
00 0c 5b - add [rbx + rbx * 2], cl
00 0c 5c - add [rsp + rbx * 2], cl
00 0c 5d xx xx xx xx - add [rbx * 2 + x], cl
00 0c 5e - add [rsi + rbx * 2], cl
00 0c 5f - add [rdi + rbx * 2], cl
00 0c 60 - add [rax], cl
00 0c 61 - add [rcx], cl
00 0c 62 - add [rdx], cl
00 0c 63 - add [rbx], cl
00 0c 64 - add [rsp], cl
00 0c 65 xx xx xx xx - add [x], cl
00 0c 66 - add [rsi], cl
00 0c 67 - add [rdi], cl
00 0c 68 - add [rax + rbp * 2], cl
00 0c 69 - add [rcx + rbp * 2], cl
00 0c 6a - add [rdx + rbp * 2], cl
00 0c 6b - add [rbx + rbp * 2], cl
00 0c 6c - add [rsp + rbp * 2], cl
00 0c 6d xx xx xx xx - add [rbp * 2 + x], cl
00 0c 6e - add [rsi + rbp * 2], cl
00 0c 6f - add [rdi + rbp * 2], cl
00 0c 70 - add [rax + rsi * 2], cl
00 0c 71 - add [rcx + rsi * 2], cl
00 0c 72 - add [rdx + rsi * 2], cl
00 0c 73 - add [rbx + rsi * 2], cl
00 0c 74 - add [rsp + rsi * 2], cl
00 0c 75 xx xx xx xx - add [rsi * 2 + x], cl
00 0c 76 - add [rsi + rsi * 2], cl
00 0c 77 - add [rdi + rsi * 2], cl
00 0c 78 - add [rax + rdi * 2], cl
00 0c 79 - add [rcx + rdi * 2], cl
00 0c 7a - add [rdx + rdi * 2], cl
00 0c 7b - add [rbx + rdi * 2], cl
00 0c 7c - add [rsp + rdi * 2], cl
00 0c 7d xx xx xx xx - add [rdi * 2 + x], cl
00 0c 7e - add [rsi + rdi * 2], cl
00 0c 7f - add [rdi + rdi * 2], cl
00 0c 80 - add [rax + rax * 4], cl
00 0c 81 - add [rcx + rax * 4], cl
00 0c 82 - add [rdx + rax * 4], cl
00 0c 83 - add [rbx + rax * 4], cl
00 0c 84 - add [rsp + rax * 4], cl
00 0c 85 xx xx xx xx - add [rax * 4 + x], cl
00 0c 86 - add [rsi + rax * 4], cl
00 0c 87 - add [rdi + rax * 4], cl
00 0c 88 - add [rax + rcx * 4], cl
00 0c 89 - add [rcx + rcx * 4], cl
00 0c 8a - add [rdx + rcx * 4], cl
00 0c 8b - add [rbx + rcx * 4], cl
00 0c 8c - add [rsp + rcx * 4], cl
00 0c 8d xx xx xx xx - add [rcx * 4 + x], cl
00 0c 8e - add [rsi + rcx * 4], cl
00 0c 8f - add [rdi + rcx * 4], cl
00 0c 90 - add [rax + rdx * 4], cl
00 0c 91 - add [rcx + rdx * 4], cl
00 0c 92 - add [rdx + rdx * 4], cl
00 0c 93 - add [rbx + rdx * 4], cl
00 0c 94 - add [rsp + rdx * 4], cl
00 0c 95 xx xx xx xx - add [rdx * 4 + x], cl
00 0c 96 - add [rsi + rdx * 4], cl
00 0c 97 - add [rdi + rdx * 4], cl
00 0c 98 - add [rax + rbx * 4], cl
00 0c 99 - add [rcx + rbx * 4], cl
00 0c 9a - add [rdx + rbx * 4], cl
00 0c 9b - add [rbx + rbx * 4], cl
00 0c 9c - add [rsp + rbx * 4], cl
00 0c 9d xx xx xx xx - add [rbx * 4 + x], cl
00 0c 9e - add [rsi + rbx * 4], cl
00 0c 9f - add [rdi + rbx * 4], cl
00 0c a0 - add [rax], cl
00 0c a1 - add [rcx], cl
00 0c a2 - add [rdx], cl
00 0c a3 - add [rbx], cl
00 0c a4 - add [rsp], cl
00 0c a5 xx xx xx xx - add [x], cl
00 0c a6 - add [rsi], cl
00 0c a7 - add [rdi], cl
00 0c a8 - add [rax + rbp * 4], cl
00 0c a9 - add [rcx + rbp * 4], cl
00 0c aa - add [rdx + rbp * 4], cl
00 0c ab - add [rbx + rbp * 4], cl
00 0c ac - add [rsp + rbp * 4], cl
00 0c ad xx xx xx xx - add [rbp * 4 + x], cl
00 0c ae - add [rsi + rbp * 4], cl
00 0c af - add [rdi + rbp * 4], cl
00 0c b0 - add [rax + rsi * 4], cl
00 0c b1 - add [rcx + rsi * 4], cl
00 0c b2 - add [rdx + rsi * 4], cl
00 0c b3 - add [rbx + rsi * 4], cl
00 0c b4 - add [rsp + rsi * 4], cl
00 0c b5 xx xx xx xx - add [rsi * 4 + x], cl
00 0c b6 - add [rsi + rsi * 4], cl
00 0c b7 - add [rdi + rsi * 4], cl
00 0c b8 - add [rax + rdi * 4], cl
00 0c b9 - add [rcx + rdi * 4], cl
00 0c ba - add [rdx + rdi * 4], cl
00 0c bb - add [rbx + rdi * 4], cl
00 0c bc - add [rsp + rdi * 4], cl
00 0c bd xx xx xx xx - add [rdi * 4 + x], cl
00 0c be - add [rsi + rdi * 4], cl
00 0c bf - add [rdi + rdi * 4], cl
00 0c c0 - add [rax + rax * 8], cl
00 0c c1 - add [rcx + rax * 8], cl
00 0c c2 - add [rdx + rax * 8], cl
00 0c c3 - add [rbx + rax * 8], cl
00 0c c4 - add [rsp + rax * 8], cl
00 0c c5 xx xx xx xx - add [rax * 8 + x], cl
00 0c c6 - add [rsi + rax * 8], cl
00 0c c7 - add [rdi + rax * 8], cl
00 0c c8 - add [rax + rcx * 8], cl
00 0c c9 - add [rcx + rcx * 8], cl
00 0c ca - add [rdx + rcx * 8], cl
00 0c cb - add [rbx + rcx * 8], cl
00 0c cc - add [rsp + rcx * 8], cl
00 0c cd xx xx xx xx - add [rcx * 8 + x], cl
00 0c ce - add [rsi + rcx * 8], cl
00 0c cf - add [rdi + rcx * 8], cl
00 0c d0 - add [rax + rdx * 8], cl
00 0c d1 - add [rcx + rdx * 8], cl
00 0c d2 - add [rdx + rdx * 8], cl
00 0c d3 - add [rbx + rdx * 8], cl
00 0c d4 - add [rsp + rdx * 8], cl
00 0c d5 xx xx xx xx - add [rdx * 8 + x], cl
00 0c d6 - add [rsi + rdx * 8], cl
00 0c d7 - add [rdi + rdx * 8], cl
00 0c d8 - add [rax + rbx * 8], cl
00 0c d9 - add [rcx + rbx * 8], cl
00 0c da - add [rdx + rbx * 8], cl
00 0c db - add [rbx + rbx * 8], cl
00 0c dc - add [rsp + rbx * 8], cl
00 0c dd xx xx xx xx - add [rbx * 8 + x], cl
00 0c de - add [rsi + rbx * 8], cl
00 0c df - add [rdi + rbx * 8], cl
00 0c e0 - add [rax], cl
00 0c e1 - add [rcx], cl
00 0c e2 - add [rdx], cl
00 0c e3 - add [rbx], cl
00 0c e4 - add [rsp], cl
00 0c e5 xx xx xx xx - add [x], cl
00 0c e6 - add [rsi], cl
00 0c e7 - add [rdi], cl
00 0c e8 - add [rax + rbp * 8], cl
00 0c e9 - add [rcx + rbp * 8], cl
00 0c ea - add [rdx + rbp * 8], cl
00 0c eb - add [rbx + rbp * 8], cl
00 0c ec - add [rsp + rbp * 8], cl
00 0c ed xx xx xx xx - add [rbp * 8 + x], cl
00 0c ee - add [rsi + rbp * 8], cl
00 0c ef - add [rdi + rbp * 8], cl
00 0c f0 - add [rax + rsi * 8], cl
00 0c f1 - add [rcx + rsi * 8], cl
00 0c f2 - add [rdx + rsi * 8], cl
00 0c f3 - add [rbx + rsi * 8], cl
00 0c f4 - add [rsp + rsi * 8], cl
00 0c f5 xx xx xx xx - add [rsi * 8 + x], cl
00 0c f6 - add [rsi + rsi * 8], cl
00 0c f7 - add [rdi + rsi * 8], cl
00 0c f8 - add [rax + rdi * 8], cl
00 0c f9 - add [rcx + rdi * 8], cl
00 0c fa - add [rdx + rdi * 8], cl
00 0c fb - add [rbx + rdi * 8], cl
00 0c fc - add [rsp + rdi * 8], cl
00 0c fd xx xx xx xx - add [rdi * 8 + x], cl
00 0c fe - add [rsi + rdi * 8], cl
00 0c ff - add [rdi + rdi * 8], cl
00 0d xx xx xx xx - add [rip + x], cl
00 0e - add [rsi], cl
00 0f - add [rdi], cl

00 10 - add [rax], dl
00 11 - add [rcx], dl
00 12 - add [rdx], dl
00 13 - add [rbx], dl
00 14 00 - add [rax + rax], dl
00 14 01 - add [rcx + rax], dl
00 14 02 - add [rdx + rax], dl
00 14 03 - add [rbx + rax], dl
00 14 04 - add [rsp + rax], dl
00 14 05 xx xx xx xx - add [rax + x], dl
00 14 06 - add [rsi + rax], dl
00 14 07 - add [rdi + rax], dl
00 14 08 - add [rax + rcx], dl
00 14 09 - add [rcx + rcx], dl
00 14 0a - add [rdx + rcx], dl
00 14 0b - add [rbx + rcx], dl
00 14 0c - add [rsp + rcx], dl
00 14 0d xx xx xx xx - add [rcx + x], dl
00 14 0e - add [rsi + rcx], dl
00 14 0f - add [rdi + rcx], dl
00 14 10 - add [rax + rdx], dl
00 14 11 - add [rcx + rdx], dl
00 14 12 - add [rdx + rdx], dl
00 14 13 - add [rbx + rdx], dl
00 14 14 - add [rsp + rdx], dl
00 14 15 xx xx xx xx - add [rdx + x], dl
00 14 16 - add [rsi + rdx], dl
00 14 17 - add [rdi + rdx], dl
00 14 18 - add [rax + rbx], dl
00 14 19 - add [rcx + rbx], dl
00 14 1a - add [rdx + rbx], dl
00 14 1b - add [rbx + rbx], dl
00 14 1c - add [rsp + rbx], dl
00 14 1d xx xx xx xx - add [rbx + x], dl
00 14 1e - add [rsi + rbx], dl
00 14 1f - add [rdi + rbx], dl
00 14 20 - add [rax], dl
00 14 21 - add [rcx], dl
00 14 22 - add [rdx], dl
00 14 23 - add [rbx], dl
00 14 24 - add [rsp], dl
00 14 25 xx xx xx xx - add [x], dl
00 14 26 - add [rsi], dl
00 14 27 - add [rdi], dl
00 14 28 - add [rax + rbp], dl
00 14 29 - add [rcx + rbp], dl
00 14 2a - add [rdx + rbp], dl
00 14 2b - add [rbx + rbp], dl
00 14 2c - add [rsp + rbp], dl
00 14 2d xx xx xx xx - add [rbp + x], dl
00 14 2e - add [rsi + rbp], dl
00 14 2f - add [rdi + rbp], dl
00 14 30 - add [rax + rsi], dl
00 14 31 - add [rcx + rsi], dl
00 14 32 - add [rdx + rsi], dl
00 14 33 - add [rbx + rsi], dl
00 14 34 - add [rsp + rsi], dl
00 14 35 xx xx xx xx - add [rsi + x], dl
00 14 36 - add [rsi + rsi], dl
00 14 37 - add [rdi + rsi], dl
00 14 38 - add [rax + rdi], dl
00 14 39 - add [rcx + rdi], dl
00 14 3a - add [rdx + rdi], dl
00 14 3b - add [rbx + rdi], dl
00 14 3c - add [rsp + rdi], dl
00 14 3d xx xx xx xx - add [rdi + x], dl
00 14 3e - add [rsi + rdi], dl
00 14 3f - add [rdi + rdi], dl
00 14 40 - add [rax + rax * 2], dl
00 14 41 - add [rcx + rax * 2], dl
00 14 42 - add [rdx + rax * 2], dl
00 14 43 - add [rbx + rax * 2], dl
00 14 44 - add [rsp + rax * 2], dl
00 14 45 xx xx xx xx - add [rax * 2 + x], dl
00 14 46 - add [rsi + rax * 2], dl
00 14 47 - add [rdi + rax * 2], dl
00 14 48 - add [rax + rcx * 2], dl
00 14 49 - add [rcx + rcx * 2], dl
00 14 4a - add [rdx + rcx * 2], dl
00 14 4b - add [rbx + rcx * 2], dl
00 14 4c - add [rsp + rcx * 2], dl
00 14 4d xx xx xx xx - add [rcx * 2 + x], dl
00 14 4e - add [rsi + rcx * 2], dl
00 14 4f - add [rdi + rcx * 2], dl
00 14 50 - add [rax + rdx * 2], dl
00 14 51 - add [rcx + rdx * 2], dl
00 14 52 - add [rdx + rdx * 2], dl
00 14 53 - add [rbx + rdx * 2], dl
00 14 54 - add [rsp + rdx * 2], dl
00 14 55 xx xx xx xx - add [rdx * 2 + x], dl
00 14 56 - add [rsi + rdx * 2], dl
00 14 57 - add [rdi + rdx * 2], dl
00 14 58 - add [rax + rbx * 2], dl
00 14 59 - add [rcx + rbx * 2], dl
00 14 5a - add [rdx + rbx * 2], dl
00 14 5b - add [rbx + rbx * 2], dl
00 14 5c - add [rsp + rbx * 2], dl
00 14 5d xx xx xx xx - add [rbx * 2 + x], dl
00 14 5e - add [rsi + rbx * 2], dl
00 14 5f - add [rdi + rbx * 2], dl
00 14 60 - add [rax], dl
00 14 61 - add [rcx], dl
00 14 62 - add [rdx], dl
00 14 63 - add [rbx], dl
00 14 64 - add [rsp], dl
00 14 65 xx xx xx xx - add [x], dl
00 14 66 - add [rsi], dl
00 14 67 - add [rdi], dl
00 14 68 - add [rax + rbp * 2], dl
00 14 69 - add [rcx + rbp * 2], dl
00 14 6a - add [rdx + rbp * 2], dl
