01 04 cd xx xx xx xx - add [rcx * 8 + x], eax
01 04 ce - add [rsi + rcx * 8], eax
01 04 cf - add [rdi + rcx * 8], eax
01 04 d0 - add [rax + rdx * 8], eax
01 04 d1 - add [rcx + rdx * 8], eax
01 04 d2 - add [rdx + rdx * 8], eax
01 04 d3 - add [rbx + rdx * 8], eax
01 04 d4 - add [rsp + rdx * 8], eax
01 04 d5 xx xx xx xx - add [rdx * 8 + x], eax
01 04 d6 - add [rsi + rdx * 8], eax
01 04 d7 - add [rdi + rdx * 8], eax
01 04 d8 - add [rax + rbx * 8], eax
01 04 d9 - add [rcx + rbx * 8], eax
01 04 da - add [rdx + rbx * 8], eax
01 04 db - add [rbx + rbx * 8], eax
01 04 dc - add [rsp + rbx * 8], eax
01 04 dd xx xx xx xx - add [rbx * 8 + x], eax
01 04 de - add [rsi + rbx * 8], eax
01 04 df - add [rdi + rbx * 8], eax
01 04 e0 - add [rax], eax
01 04 e1 - add [rcx], eax
01 04 e2 - add [rdx], eax
01 04 e3 - add [rbx], eax
01 04 e4 - add [rsp], eax
01 04 e5 xx xx xx xx - add [x], eax
01 04 e6 - add [rsi], eax
01 04 e7 - add [rdi], eax
01 04 e8 - add [rax + rbp * 8], eax
01 04 e9 - add [rcx + rbp * 8], eax
01 04 ea - add [rdx + rbp * 8], eax
01 04 eb - add [rbx + rbp * 8], eax
01 04 ec - add [rsp + rbp * 8], eax
01 04 ed xx xx xx xx - add [rbp * 8 + x], eax
01 04 ee - add [rsi + rbp * 8], eax
01 04 ef - add [rdi + rbp * 8], eax
01 04 f0 - add [rax + rsi * 8], eax
01 04 f1 - add [rcx + rsi * 8], eax
01 04 f2 - add [rdx + rsi * 8], eax
01 04 f3 - add [rbx + rsi * 8], eax
01 04 f4 - add [rsp + rsi * 8], eax
01 04 f5 xx xx xx xx - add [rsi * 8 + x], eax
01 04 f6 - add [rsi + rsi * 8], eax
01 04 f7 - add [rdi + rsi * 8], eax
01 04 f8 - add [rax + rdi * 8], eax
01 04 f9 - add [rcx + rdi * 8], eax
01 04 fa - add [rdx + rdi * 8], eax
01 04 fb - add [rbx + rdi * 8], eax
01 04 fc - add [rsp + rdi * 8], eax
01 04 fd xx xx xx xx - add [rdi * 8 + x], eax
01 04 fe - add [rsi + rdi * 8], eax
01 04 ff - add [rdi + rdi * 8], eax
01 05 xx xx xx xx - add [rip + x], eax
01 06 - add [rsi], eax
01 07 - add [rdi], eax

01 08 - add [rax], ecx
01 09 - add [rcx], ecx
01 0a - add [rdx], ecx
01 0b - add [rbx], ecx
01 0c 01 - add [rax + rax], ecx
01 0c 01 - add [rcx + rax], ecx
01 0c 02 - add [rdx + rax], ecx
01 0c 03 - add [rbx + rax], ecx
01 0c 04 - add [rsp + rax], ecx
01 0c 05 xx xx xx xx - add [rax + x], ecx
01 0c 06 - add [rsi + rax], ecx
01 0c 07 - add [rdi + rax], ecx
01 0c 08 - add [rax + rcx], ecx
01 0c 09 - add [rcx + rcx], ecx
01 0c 0a - add [rdx + rcx], ecx
01 0c 0b - add [rbx + rcx], ecx
01 0c 0c - add [rsp + rcx], ecx
01 0c 0d xx xx xx xx - add [rcx + x], ecx
01 0c 0e - add [rsi + rcx], ecx
01 0c 0f - add [rdi + rcx], ecx
01 0c 10 - add [rax + rdx], ecx
01 0c 11 - add [rcx + rdx], ecx
01 0c 12 - add [rdx + rdx], ecx
01 0c 13 - add [rbx + rdx], ecx
01 0c 14 - add [rsp + rdx], ecx
01 0c 15 xx xx xx xx - add [rdx + x], ecx
01 0c 16 - add [rsi + rdx], ecx
01 0c 17 - add [rdi + rdx], ecx
01 0c 18 - add [rax + rbx], ecx
01 0c 19 - add [rcx + rbx], ecx
01 0c 1a - add [rdx + rbx], ecx
01 0c 1b - add [rbx + rbx], ecx
01 0c 1c - add [rsp + rbx], ecx
01 0c 1d xx xx xx xx - add [rbx + x], ecx
01 0c 1e - add [rsi + rbx], ecx
01 0c 1f - add [rdi + rbx], ecx
01 0c 20 - add [rax], ecx
01 0c 21 - add [rcx], ecx
01 0c 22 - add [rdx], ecx
01 0c 23 - add [rbx], ecx
01 0c 24 - add [rsp], ecx
01 0c 25 xx xx xx xx - add [x], ecx
01 0c 26 - add [rsi], ecx
01 0c 27 - add [rdi], ecx
01 0c 28 - add [rax + rbp], ecx
01 0c 29 - add [rcx + rbp], ecx
01 0c 2a - add [rdx + rbp], ecx
01 0c 2b - add [rbx + rbp], ecx
01 0c 2c - add [rsp + rbp], ecx
01 0c 2d xx xx xx xx - add [rbp + x], ecx
01 0c 2e - add [rsi + rbp], ecx
01 0c 2f - add [rdi + rbp], ecx
01 0c 30 - add [rax + rsi], ecx
01 0c 31 - add [rcx + rsi], ecx
01 0c 32 - add [rdx + rsi], ecx
01 0c 33 - add [rbx + rsi], ecx
01 0c 34 - add [rsp + rsi], ecx
01 0c 35 xx xx xx xx - add [rsi + x], ecx
01 0c 36 - add [rsi + rsi], ecx
01 0c 37 - add [rdi + rsi], ecx
01 0c 38 - add [rax + rdi], ecx
01 0c 39 - add [rcx + rdi], ecx
01 0c 3a - add [rdx + rdi], ecx
01 0c 3b - add [rbx + rdi], ecx
01 0c 3c - add [rsp + rdi], ecx
01 0c 3d xx xx xx xx - add [rdi + x], ecx
01 0c 3e - add [rsi + rdi], ecx
01 0c 3f - add [rdi + rdi], ecx
01 0c 40 - add [rax + rax * 2], ecx
