08 0c 16 - or [rsi + rdx], cl
08 0c 17 - or [rdi + rdx], cl
08 0c 18 - or [rax + rbx], cl
08 0c 19 - or [rcx + rbx], cl
08 0c 1a - or [rdx + rbx], cl
08 0c 1b - or [rbx + rbx], cl
08 0c 1c - or [rsp + rbx], cl
08 0c 1d xx xx xx xx - or [rbx + x], cl
08 0c 1e - or [rsi + rbx], cl
08 0c 1f - or [rdi + rbx], cl
08 0c 20 - or [rax], cl
08 0c 21 - or [rcx], cl
08 0c 22 - or [rdx], cl
08 0c 23 - or [rbx], cl
08 0c 24 - or [rsp], cl
08 0c 25 xx xx xx xx - or [x], cl
08 0c 26 - or [rsi], cl
08 0c 27 - or [rdi], cl
08 0c 28 - or [rax + rbp], cl
08 0c 29 - or [rcx + rbp], cl
08 0c 2a - or [rdx + rbp], cl
08 0c 2b - or [rbx + rbp], cl
08 0c 2c - or [rsp + rbp], cl
08 0c 2d xx xx xx xx - or [rbp + x], cl
08 0c 2e - or [rsi + rbp], cl
08 0c 2f - or [rdi + rbp], cl
08 0c 30 - or [rax + rsi], cl
08 0c 31 - or [rcx + rsi], cl
08 0c 32 - or [rdx + rsi], cl
08 0c 33 - or [rbx + rsi], cl
08 0c 34 - or [rsp + rsi], cl
08 0c 35 xx xx xx xx - or [rsi + x], cl
08 0c 36 - or [rsi + rsi], cl
08 0c 37 - or [rdi + rsi], cl
08 0c 38 - or [rax + rdi], cl
08 0c 39 - or [rcx + rdi], cl
08 0c 3a - or [rdx + rdi], cl
08 0c 3b - or [rbx + rdi], cl
08 0c 3c - or [rsp + rdi], cl
08 0c 3d xx xx xx xx - or [rdi + x], cl
08 0c 3e - or [rsi + rdi], cl
08 0c 3f - or [rdi + rdi], cl
08 0c 40 - or [rax + rax * 2], cl
08 0c 41 - or [rcx + rax * 2], cl
08 0c 42 - or [rdx + rax * 2], cl
08 0c 43 - or [rbx + rax * 2], cl
08 0c 44 - or [rsp + rax * 2], cl
08 0c 45 xx xx xx xx - or [rax * 2 + x], cl
08 0c 46 - or [rsi + rax * 2], cl
08 0c 47 - or [rdi + rax * 2], cl
08 0c 48 - or [rax + rcx * 2], cl
08 0c 49 - or [rcx + rcx * 2], cl
08 0c 4a - or [rdx + rcx * 2], cl
08 0c 4b - or [rbx + rcx * 2], cl
08 0c 4c - or [rsp + rcx * 2], cl
08 0c 4d xx xx xx xx - or [rcx * 2 + x], cl
08 0c 4e - or [rsi + rcx * 2], cl
08 0c 4f - or [rdi + rcx * 2], cl
08 0c 50 - or [rax + rdx * 2], cl
08 0c 51 - or [rcx + rdx * 2], cl
08 0c 52 - or [rdx + rdx * 2], cl
08 0c 53 - or [rbx + rdx * 2], cl
08 0c 54 - or [rsp + rdx * 2], cl
08 0c 55 xx xx xx xx - or [rdx * 2 + x], cl
08 0c 56 - or [rsi + rdx * 2], cl
08 0c 57 - or [rdi + rdx * 2], cl
08 0c 58 - or [rax + rbx * 2], cl
08 0c 59 - or [rcx + rbx * 2], cl
08 0c 5a - or [rdx + rbx * 2], cl
08 0c 5b - or [rbx + rbx * 2], cl
08 0c 5c - or [rsp + rbx * 2], cl
08 0c 5d xx xx xx xx - or [rbx * 2 + x], cl
08 0c 5e - or [rsi + rbx * 2], cl
08 0c 5f - or [rdi + rbx * 2], cl
08 0c 60 - or [rax], cl
08 0c 61 - or [rcx], cl
08 0c 62 - or [rdx], cl
08 0c 63 - or [rbx], cl
08 0c 64 - or [rsp], cl
08 0c 65 xx xx xx xx - or [x], cl
08 0c 66 - or [rsi], cl
08 0c 67 - or [rdi], cl
08 0c 68 - or [rax + rbp * 2], cl
08 0c 69 - or [rcx + rbp * 2], cl
08 0c 6a - or [rdx + rbp * 2], cl
08 0c 6b - or [rbx + rbp * 2], cl
08 0c 6c - or [rsp + rbp * 2], cl
08 0c 6d xx xx xx xx - or [rbp * 2 + x], cl
08 0c 6e - or [rsi + rbp * 2], cl
08 0c 6f - or [rdi + rbp * 2], cl
08 0c 70 - or [rax + rsi * 2], cl
08 0c 71 - or [rcx + rsi * 2], cl
08 0c 72 - or [rdx + rsi * 2], cl
08 0c 73 - or [rbx + rsi * 2], cl
08 0c 74 - or [rsp + rsi * 2], cl
08 0c 75 xx xx xx xx - or [rsi * 2 + x], cl
08 0c 76 - or [rsi + rsi * 2], cl
08 0c 77 - or [rdi + rsi * 2], cl
08 0c 78 - or [rax + rdi * 2], cl
08 0c 79 - or [rcx + rdi * 2], cl
08 0c 7a - or [rdx + rdi * 2], cl
08 0c 7b - or [rbx + rdi * 2], cl
08 0c 7c - or [rsp + rdi * 2], cl
08 0c 7d xx xx xx xx - or [rdi * 2 + x], cl
08 0c 7e - or [rsi + rdi * 2], cl
08 0c 7f - or [rdi + rdi * 2], cl
08 0c 80 - or [rax + rax * 4], cl
08 0c 81 - or [rcx + rax * 4], cl
08 0c 82 - or [rdx + rax * 4], cl
08 0c 83 - or [rbx + rax * 4], cl
08 0c 84 - or [rsp + rax * 4], cl
08 0c 85 xx xx xx xx - or [rax * 4 + x], cl
08 0c 86 - or [rsi + rax * 4], cl
08 0c 87 - or [rdi + rax * 4], cl
08 0c 88 - or [rax + rcx * 4], cl
08 0c 89 - or [rcx + rcx * 4], cl
08 0c 8a - or [rdx + rcx * 4], cl
08 0c 8b - or [rbx + rcx * 4], cl
08 0c 8c - or [rsp + rcx * 4], cl
08 0c 8d xx xx xx xx - or [rcx * 4 + x], cl
08 0c 8e - or [rsi + rcx * 4], cl
08 0c 8f - or [rdi + rcx * 4], cl
08 0c 90 - or [rax + rdx * 4], cl
08 0c 91 - or [rcx + rdx * 4], cl
08 0c 92 - or [rdx + rdx * 4], cl
08 0c 93 - or [rbx + rdx * 4], cl
08 0c 94 - or [rsp + rdx * 4], cl
08 0c 95 xx xx xx xx - or [rdx * 4 + x], cl
08 0c 96 - or [rsi + rdx * 4], cl
08 0c 97 - or [rdi + rdx * 4], cl
08 0c 98 - or [rax + rbx * 4], cl
08 0c 99 - or [rcx + rbx * 4], cl
08 0c 9a - or [rdx + rbx * 4], cl
08 0c 9b - or [rbx + rbx * 4], cl
08 0c 9c - or [rsp + rbx * 4], cl
08 0c 9d xx xx xx xx - or [rbx * 4 + x], cl
08 0c 9e - or [rsi + rbx * 4], cl
08 0c 9f - or [rdi + rbx * 4], cl
08 0c a0 - or [rax], cl
08 0c a1 - or [rcx], cl
08 0c a2 - or [rdx], cl
08 0c a3 - or [rbx], cl
08 0c a4 - or [rsp], cl
08 0c a5 xx xx xx xx - or [x], cl
08 0c a6 - or [rsi], cl
08 0c a7 - or [rdi], cl
08 0c a8 - or [rax + rbp * 4], cl
08 0c a9 - or [rcx + rbp * 4], cl
08 0c aa - or [rdx + rbp * 4], cl
08 0c ab - or [rbx + rbp * 4], cl
08 0c ac - or [rsp + rbp * 4], cl
08 0c ad xx xx xx xx - or [rbp * 4 + x], cl
08 0c ae - or [rsi + rbp * 4], cl
08 0c af - or [rdi + rbp * 4], cl
08 0c b0 - or [rax + rsi * 4], cl
08 0c b1 - or [rcx + rsi * 4], cl
08 0c b2 - or [rdx + rsi * 4], cl
08 0c b3 - or [rbx + rsi * 4], cl
08 0c b4 - or [rsp + rsi * 4], cl
08 0c b5 xx xx xx xx - or [rsi * 4 + x], cl
08 0c b6 - or [rsi + rsi * 4], cl
08 0c b7 - or [rdi + rsi * 4], cl
08 0c b8 - or [rax + rdi * 4], cl
08 0c b9 - or [rcx + rdi * 4], cl
08 0c ba - or [rdx + rdi * 4], cl
08 0c bb - or [rbx + rdi * 4], cl
08 0c bc - or [rsp + rdi * 4], cl
08 0c bd xx xx xx xx - or [rdi * 4 + x], cl
08 0c be - or [rsi + rdi * 4], cl
08 0c bf - or [rdi + rdi * 4], cl
08 0c c0 - or [rax + rax * 8], cl
08 0c c1 - or [rcx + rax * 8], cl
08 0c c2 - or [rdx + rax * 8], cl
08 0c c3 - or [rbx + rax * 8], cl
08 0c c4 - or [rsp + rax * 8], cl
08 0c c5 xx xx xx xx - or [rax * 8 + x], cl
08 0c c6 - or [rsi + rax * 8], cl
08 0c c7 - or [rdi + rax * 8], cl
08 0c c8 - or [rax + rcx * 8], cl
08 0c c9 - or [rcx + rcx * 8], cl
08 0c ca - or [rdx + rcx * 8], cl
08 0c cb - or [rbx + rcx * 8], cl
08 0c cc - or [rsp + rcx * 8], cl
08 0c cd xx xx xx xx - or [rcx * 8 + x], cl
08 0c ce - or [rsi + rcx * 8], cl
08 0c cf - or [rdi + rcx * 8], cl
08 0c d0 - or [rax + rdx * 8], cl
08 0c d1 - or [rcx + rdx * 8], cl
08 0c d2 - or [rdx + rdx * 8], cl
08 0c d3 - or [rbx + rdx * 8], cl
08 0c d4 - or [rsp + rdx * 8], cl
08 0c d5 xx xx xx xx - or [rdx * 8 + x], cl
08 0c d6 - or [rsi + rdx * 8], cl
08 0c d7 - or [rdi + rdx * 8], cl
08 0c d8 - or [rax + rbx * 8], cl
08 0c d9 - or [rcx + rbx * 8], cl
08 0c da - or [rdx + rbx * 8], cl
08 0c db - or [rbx + rbx * 8], cl
08 0c dc - or [rsp + rbx * 8], cl
08 0c dd xx xx xx xx - or [rbx * 8 + x], cl
08 0c de - or [rsi + rbx * 8], cl
08 0c df - or [rdi + rbx * 8], cl
08 0c e0 - or [rax], cl
08 0c e1 - or [rcx], cl
08 0c e2 - or [rdx], cl
08 0c e3 - or [rbx], cl
08 0c e4 - or [rsp], cl
08 0c e5 xx xx xx xx - or [x], cl
08 0c e6 - or [rsi], cl
08 0c e7 - or [rdi], cl
08 0c e8 - or [rax + rbp * 8], cl
08 0c e9 - or [rcx + rbp * 8], cl
08 0c ea - or [rdx + rbp * 8], cl
08 0c eb - or [rbx + rbp * 8], cl
08 0c ec - or [rsp + rbp * 8], cl
08 0c ed xx xx xx xx - or [rbp * 8 + x], cl
08 0c ee - or [rsi + rbp * 8], cl
08 0c ef - or [rdi + rbp * 8], cl
08 0c f0 - or [rax + rsi * 8], cl
08 0c f1 - or [rcx + rsi * 8], cl
08 0c f2 - or [rdx + rsi * 8], cl
08 0c f3 - or [rbx + rsi * 8], cl
08 0c f4 - or [rsp + rsi * 8], cl
08 0c f5 xx xx xx xx - or [rsi * 8 + x], cl
08 0c f6 - or [rsi + rsi * 8], cl
08 0c f7 - or [rdi + rsi * 8], cl
08 0c f8 - or [rax + rdi * 8], cl
08 0c f9 - or [rcx + rdi * 8], cl
08 0c fa - or [rdx + rdi * 8], cl
08 0c fb - or [rbx + rdi * 8], cl
08 0c fc - or [rsp + rdi * 8], cl
08 0c fd xx xx xx xx - or [rdi * 8 + x], cl
08 0c fe - or [rsi + rdi * 8], cl
08 0c ff - or [rdi + rdi * 8], cl
08 0d xx xx xx xx - or [rip + x], cl
08 0e - or [rsi], cl
08 0f - or [rdi], cl

08 10 - or [rax], dl
08 11 - or [rcx], dl
08 12 - or [rdx], dl
08 13 - or [rbx], dl
08 14 00 - or [rax + rax], dl
08 14 01 - or [rcx + rax], dl
08 14 02 - or [rdx + rax], dl
08 14 03 - or [rbx + rax], dl
08 14 04 - or [rsp + rax], dl
08 14 05 xx xx xx xx - or [rax + x], dl
08 14 06 - or [rsi + rax], dl
08 14 07 - or [rdi + rax], dl
08 14 08 - or [rax + rcx], dl
08 14 09 - or [rcx + rcx], dl
08 14 0a - or [rdx + rcx], dl
08 14 0b - or [rbx + rcx], dl
08 14 0c - or [rsp + rcx], dl
08 14 0d xx xx xx xx - or [rcx + x], dl
08 14 0e - or [rsi + rcx], dl
08 14 0f - or [rdi + rcx], dl
08 14 10 - or [rax + rdx], dl
08 14 11 - or [rcx + rdx], dl
08 14 12 - or [rdx + rdx], dl
08 14 13 - or [rbx + rdx], dl
08 14 14 - or [rsp + rdx], dl
08 14 15 xx xx xx xx - or [rdx + x], dl
08 14 16 - or [rsi + rdx], dl
08 14 17 - or [rdi + rdx], dl
08 14 18 - or [rax + rbx], dl
08 14 19 - or [rcx + rbx], dl
08 14 1a - or [rdx + rbx], dl
08 14 1b - or [rbx + rbx], dl
08 14 1c - or [rsp + rbx], dl
08 14 1d xx xx xx xx - or [rbx + x], dl
08 14 1e - or [rsi + rbx], dl
08 14 1f - or [rdi + rbx], dl
08 14 20 - or [rax], dl
08 14 21 - or [rcx], dl
08 14 22 - or [rdx], dl
08 14 23 - or [rbx], dl
08 14 24 - or [rsp], dl
08 14 25 xx xx xx xx - or [x], dl
08 14 26 - or [rsi], dl
08 14 27 - or [rdi], dl
08 14 28 - or [rax + rbp], dl
08 14 29 - or [rcx + rbp], dl
08 14 2a - or [rdx + rbp], dl
08 14 2b - or [rbx + rbp], dl
08 14 2c - or [rsp + rbp], dl
08 14 2d xx xx xx xx - or [rbp + x], dl
08 14 2e - or [rsi + rbp], dl
08 14 2f - or [rdi + rbp], dl
08 14 30 - or [rax + rsi], dl
08 14 31 - or [rcx + rsi], dl
08 14 32 - or [rdx + rsi], dl
08 14 33 - or [rbx + rsi], dl
08 14 34 - or [rsp + rsi], dl
08 14 35 xx xx xx xx - or [rsi + x], dl
08 14 36 - or [rsi + rsi], dl
08 14 37 - or [rdi + rsi], dl
08 14 38 - or [rax + rdi], dl
08 14 39 - or [rcx + rdi], dl
08 14 3a - or [rdx + rdi], dl
08 14 3b - or [rbx + rdi], dl
08 14 3c - or [rsp + rdi], dl
08 14 3d xx xx xx xx - or [rdi + x], dl
08 14 3e - or [rsi + rdi], dl
08 14 3f - or [rdi + rdi], dl
08 14 40 - or [rax + rax * 2], dl
08 14 41 - or [rcx + rax * 2], dl
08 14 42 - or [rdx + rax * 2], dl
08 14 43 - or [rbx + rax * 2], dl
08 14 44 - or [rsp + rax * 2], dl
